,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
809,2016,11,15,Bolivia,Paraguay,1,0,World Cup qualifier,,1633,1702,Bolivia-Paraguay,2016-11-15,1,1-0,0-1,1702,1633,Paraguay,Bolivia,0.8766839705096747,1.86966525289216,0.8285049781377095,2.822590145444795,-1.94590617493512,1.0411602747544504,3335,69,1.0422535211267605
810,2016,11,15,Chile,Uruguay,3,1,World Cup qualifier,,1982,1914,Chile-Uruguay,2016-11-15,4,3-1,3-1,1982,1914,Chile,Uruguay,1.160852802987202,1.0152277029979193,2.077515809103209,1.0546095011663332,0.10624330182086883,-1.0622881061052896,3896,68,1.0355276907001045
813,2016,11,15,Costa Rica,United States,4,0,World Cup qualifier,,1854,1735,Costa Rica-United States,2016-11-15,4,4-0,4-0,1854,1735,Costa Rica,United States,1.8964930876022095,1.206531463721092,1.9931032898022596,0.9880402682515023,0.9084528193507072,-0.7865718260811676,3589,119,1.0685878962536024
815,2016,11,15,Ecuador,Venezuela,3,0,World Cup qualifier,,1850,1683,Ecuador-Venezuela,2016-11-15,3,3-0,3-0,1850,1683,Ecuador,Venezuela,1.5625659967896584,1.6505104069789294,1.4682945736979307,1.5169558617473071,0.04561013504235123,0.18221583328099866,3533,167,1.0992275698158052
830,2016,11,15,Panama,Mexico,0,0,World Cup qualifier,,1689,1911,Panama-Mexico,2016-11-15,0,0-0,0-0,1911,1689,Mexico,Panama,1.617868475456492,0.9427058473283152,1.0022656575600832,1.1843024646059874,0.4335660108505046,-0.05955981023176804,3600,222,1.1314387211367674
831,2016,11,15,Peru,Brazil,0,2,World Cup qualifier,,1834,2087,Peru-Brazil,2016-11-15,2,0-2,2-0,2087,1834,Brazil,Peru,2.678569636683259,0.5493974700730541,1.8663017299026599,1.304407333416718,1.3741623032665409,-1.316904259829606,3921,253,1.1379498364231189
893,2017,1,17,Panama,Honduras,0,1,CONCACAF Championship qualifier and Central American Cup,,1642,1611,Panama-Honduras,2017-01-17,1,0-1,0-1,1642,1611,Panama,Honduras,0.9125857733743805,0.8304706962417465,2.018900728747399,0.855747950318513,0.05683782305586749,-1.1884300325056523,3253,31,1.0192427063935443
899,2017,1,20,Costa Rica,Honduras,1,1,CONCACAF Championship qualifier and Central American Cup,PA,1809,1622,Costa Rica-Honduras,2017-01-20,2,1-1,1-1,1809,1622,Costa Rica,Honduras,1.6944806466606166,0.5406770666944937,1.8336460507933263,0.7001574138969652,0.9943232327636514,-1.2929689840988328,3431,187,1.1152897657213316
900,2017,1,20,Democratic Republic of Congo,Ivory Coast,2,2,African Nations Cup,GA,1604,1711,Democratic Republic of Congo-Ivory Coast,2017-01-20,4,2-2,2-2,1711,1604,Ivory Coast,Democratic Republic of Congo,1.1054154322590137,0.2818354141413092,1.550402792892081,0.7662230111344597,0.33919242112455406,-1.2685673787507716,3315,107,1.0667082294264338
910,2017,1,22,Panama,Costa Rica,1,0,CONCACAF Championship qualifier and Central American Cup,,1671,1785,Panama-Costa Rica,2017-01-22,1,1-0,0-1,1785,1671,Costa Rica,Panama,1.5682114381768681,0.6241903272954947,0.7927227077960728,0.7046952594676152,0.8635161787092529,-0.16853238050057806,3456,114,1.0682226211849193
911,2017,1,23,Algeria,Senegal,2,2,African Nations Cup,GA,1604,1719,Algeria-Senegal,2017-01-23,4,2-2,2-2,1719,1604,Senegal,Algeria,1.9185227039881774,0.2924114277601635,3.3326798007411758,1.345675694635246,0.5728470093529314,-3.0402683729810125,3323,115,1.0716957605985038
914,2017,1,24,Morocco,Ivory Coast,1,0,African Nations Cup,GA,1621,1677,Morocco-Ivory Coast,2017-01-24,1,1-0,0-1,1677,1621,Ivory Coast,Morocco,1.2680671718482839,0.5942289752065257,1.364174124046397,0.6308594578642537,0.6372077139840302,-0.7699451488398712,3298,56,1.0345465761875385
916,2017,1,25,Egypt,Ghana,1,0,African Nations Cup,GA,1700,1609,Egypt-Ghana,2017-01-25,1,1-0,1-0,1700,1609,Egypt,Ghana,0.9247161254953167,0.3425453643718981,1.0668684604844352,0.6285193588715617,0.29619676662375494,-0.7243230961125371,3309,91,1.0565568676196395
